strategy,alpha,train_frac,n_samples,vocab_size,k,min_freq,acc_mean,acc_std
A1_train_grows_vocab_grows,0.0,0.1,156430,29157,5,2,0.7450233331202455,0.0025120211482126853
A1_train_grows_vocab_grows,0.0,0.2,312860,52279,5,2,0.7504091286837563,0.0011921280049431231
A1_train_grows_vocab_grows,0.0,0.4,625720,95307,5,2,0.7542287285047624,0.0008072743505477928
A1_train_grows_vocab_grows,0.0,0.6,938581,134782,5,2,0.7565207486997165,0.0006572444963718935
A1_train_grows_vocab_grows,0.0,0.8,1251441,171913,5,2,0.7580317398500618,0.0012316888640731133
A1_train_grows_vocab_grows,0.0,1.0,1564302,207237,5,2,0.7590842428614868,0.0009422837584721702
A1_train_grows_vocab_grows,0.1,0.1,156430,29157,5,2,0.748526497474909,0.002553743941752813
A1_train_grows_vocab_grows,0.1,0.2,312860,52279,5,2,0.7540880905197213,0.001181315141455235
A1_train_grows_vocab_grows,0.1,0.4,625720,95307,5,2,0.7575513009013617,0.000853303129529508
A1_train_grows_vocab_grows,0.1,0.6,938581,134782,5,2,0.7596595294546754,0.0005884126878114177
A1_train_grows_vocab_grows,0.1,0.8,1251441,171913,5,2,0.7611569371679893,0.001170585674449231
A1_train_grows_vocab_grows,0.1,1.0,1564302,207237,5,2,0.7621335260532539,0.0009949648403840003
A1_train_grows_vocab_grows,0.5,0.1,156430,29157,5,2,0.7531228025314839,0.0026071767254258267
A1_train_grows_vocab_grows,0.5,0.2,312860,52279,5,2,0.7582337147605959,0.0014647507953480827
A1_train_grows_vocab_grows,0.5,0.4,625720,95307,5,2,0.7615051460717254,0.0008706871885631866
A1_train_grows_vocab_grows,0.5,0.6,938581,134782,5,2,0.7633075898792768,0.0006519201752833232
A1_train_grows_vocab_grows,0.5,0.8,1251441,171913,5,2,0.7646353274094977,0.001085207968457766
A1_train_grows_vocab_grows,0.5,1.0,1564302,207237,5,2,0.7656507497581944,0.0009022666697974915
A1_train_grows_vocab_grows,1.0,0.1,156430,29157,5,2,0.7552835133925717,0.0026825772305023943
A1_train_grows_vocab_grows,1.0,0.2,312860,52279,5,2,0.7605062967461484,0.001383846907795911
A1_train_grows_vocab_grows,1.0,0.4,625720,95307,5,2,0.7634037588697821,0.000894363773770778
A1_train_grows_vocab_grows,1.0,0.6,938581,134782,5,2,0.7652413602892367,0.0007384320039726201
A1_train_grows_vocab_grows,1.0,0.8,1251441,171913,5,2,0.7663980953902987,0.001088315060318334
A1_train_grows_vocab_grows,1.0,1.0,1564302,207237,5,2,0.7673742021399452,0.0009091698468823386
A1_train_grows_vocab_grows,2.0,0.1,156430,29157,5,2,0.7572076967333633,0.002503514801889547
A1_train_grows_vocab_grows,2.0,0.2,312860,52279,5,2,0.7620884740778623,0.001313550529689869
A1_train_grows_vocab_grows,2.0,0.4,625720,95307,5,2,0.7648357092629291,0.0009665175758033164
A1_train_grows_vocab_grows,2.0,0.6,938581,134782,5,2,0.7664261272538493,0.0006725616031295339
A1_train_grows_vocab_grows,2.0,0.8,1251441,171913,5,2,0.7673937478584799,0.0008938524322238759
A1_train_grows_vocab_grows,2.0,1.0,1564302,207237,5,2,0.7682563850163324,0.0009280275812562493
