strategy,alpha,train_frac,n_samples,fixed_vocab_size,k,min_freq,acc_mean,acc_std
A3_fixed_vocab_vary_train,0.0,0.1,156430,50000,5,2,0.7450233331202455,0.0025120211482126853
A3_fixed_vocab_vary_train,0.0,0.2,312860,50000,5,2,0.7504091286837563,0.0011921280049431231
A3_fixed_vocab_vary_train,0.0,0.4,625720,50000,5,2,0.7584191011954229,0.0010575489867791692
A3_fixed_vocab_vary_train,0.0,0.6,938581,50000,5,2,0.7618074535119371,0.000784571197992088
A3_fixed_vocab_vary_train,0.0,0.8,1251441,50000,5,2,0.7639736902707243,0.0011662474532158254
A3_fixed_vocab_vary_train,0.0,1.0,1564302,50000,5,2,0.765008930191929,0.00112895255600384
A3_fixed_vocab_vary_train,0.1,0.1,156430,50000,5,2,0.748526497474909,0.002553743941752813
A3_fixed_vocab_vary_train,0.1,0.2,312860,50000,5,2,0.7540880905197213,0.001181315141455235
A3_fixed_vocab_vary_train,0.1,0.4,625720,50000,5,2,0.7600220545931087,0.0010189488302390637
A3_fixed_vocab_vary_train,0.1,0.6,938581,50000,5,2,0.7625660452921506,0.0007073311605960486
A3_fixed_vocab_vary_train,0.1,0.8,1251441,50000,5,2,0.7643692343673981,0.0011676565791243973
A3_fixed_vocab_vary_train,0.1,1.0,1564302,50000,5,2,0.7653068266306519,0.0011074695305512544
A3_fixed_vocab_vary_train,0.5,0.1,156430,50000,5,2,0.7531228025314839,0.0026071767254258267
A3_fixed_vocab_vary_train,0.5,0.2,312860,50000,5,2,0.7582337147605959,0.0014647507953480827
A3_fixed_vocab_vary_train,0.5,0.4,625720,50000,5,2,0.7623058236911078,0.0009308229650302321
A3_fixed_vocab_vary_train,0.5,0.6,938581,50000,5,2,0.7638626833982551,0.0006779646176613695
A3_fixed_vocab_vary_train,0.5,0.8,1251441,50000,5,2,0.765224248748374,0.0011893044823961594
A3_fixed_vocab_vary_train,0.5,1.0,1564302,50000,5,2,0.7658744920255132,0.0010831149163609054
A3_fixed_vocab_vary_train,1.0,0.1,156430,50000,5,2,0.7552835133925717,0.0026825772305023943
A3_fixed_vocab_vary_train,1.0,0.2,312860,50000,5,2,0.7605062967461484,0.001383846907795911
A3_fixed_vocab_vary_train,1.0,0.4,625720,50000,5,2,0.7635827526689255,0.000931952778022274
A3_fixed_vocab_vary_train,1.0,0.6,938581,50000,5,2,0.7648556719053407,0.000724473205030259
A3_fixed_vocab_vary_train,1.0,0.8,1251441,50000,5,2,0.7658627126498395,0.0011822186053590084
A3_fixed_vocab_vary_train,1.0,1.0,1564302,50000,5,2,0.7663258115673984,0.0010588614112536762
A3_fixed_vocab_vary_train,2.0,0.1,156430,50000,5,2,0.7572076967333633,0.002503514801889547
A3_fixed_vocab_vary_train,2.0,0.2,312860,50000,5,2,0.7620884740778623,0.001313550529689869
A3_fixed_vocab_vary_train,2.0,0.4,625720,50000,5,2,0.7645592277696094,0.0010441495205311736
A3_fixed_vocab_vary_train,2.0,0.6,938581,50000,5,2,0.7656345069297219,0.0005852414253275161
A3_fixed_vocab_vary_train,2.0,0.8,1251441,50000,5,2,0.7664716109081822,0.0010730558267359916
A3_fixed_vocab_vary_train,2.0,1.0,1564302,50000,5,2,0.7666531141384393,0.0010150815321830636
